epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.71915,3.73648,6.981,2.18624,0,0,0,0,3.72308,6.25476,2.15833,3.636e-05,3.636e-05,3.636e-05
2,3.14457,3.70095,6.61764,2.16523,0.00104,0.11842,0.00091,0.00032,2.50254,4.51706,1.4855,8.179e-05,8.179e-05,8.179e-05
3,4.92249,2.74852,4.91708,1.67114,0.00364,0.32588,0.00618,0.00265,2.05921,4.85033,1.32523,0.000127136,0.000127136,0.000127136
4,6.50965,2.22605,4.09919,1.40199,0.342,0.09561,0.00806,0.00282,2.26887,14.7938,1.34413,0.000172331,0.000172331,0.000172331
5,8.03318,2.17892,3.75342,1.3572,0.22948,0.50042,0.08063,0.041,2.26919,19.0125,1.37371,0.000217308,0.000217308,0.000217308
6,9.61256,2.00125,3.56351,1.31743,0.34662,0.14649,0.14282,0.05052,2.07213,14.7507,1.38616,0.000262003,0.000262003,0.000262003
7,11.3911,1.89253,3.36993,1.26857,0.42043,0.23991,0.14495,0.06871,2.17354,15.7438,1.4151,0.00030635,0.00030635,0.00030635
8,12.9792,1.82235,3.12272,1.21865,0.61114,0.27709,0.21057,0.0964,2.27732,12.5147,1.59921,0.000350284,0.000350284,0.000350284
9,14.542,1.91368,3.0406,1.24609,0.06191,0.3445,0.10137,0.05441,1.84998,8.37313,1.35533,0.00039374,0.00039374,0.00039374
10,15.9671,1.72845,2.83367,1.18807,0.36282,0.06545,0.08261,0.04616,2.01561,6.71334,1.33161,0.000436656,0.000436656,0.000436656
11,17.4644,1.85042,2.79815,1.20819,0.40517,0.08457,0.08541,0.0445,2.11171,6.38271,1.34778,0.000478968,0.000478968,0.000478968
12,18.9015,1.91347,2.74093,1.22803,0.10277,0.21886,0.09354,0.0555,2.18669,9.58458,1.47584,0.000520615,0.000520615,0.000520615
13,20.3418,1.84313,2.71417,1.19073,0.24814,0.2058,0.09461,0.0522,2.17928,7.85124,1.4447,0.000561538,0.000561538,0.000561538
14,21.7351,1.79404,2.59586,1.193,0.08289,0.30705,0.09297,0.04976,2.25984,4.07296,1.44905,0.000601675,0.000601675,0.000601675
15,23.1092,1.74883,2.60755,1.18393,0.13556,0.13022,0.11983,0.05921,2.20465,3.39655,1.43215,0.000640971,0.000640971,0.000640971
16,24.3973,1.76081,2.45286,1.15195,0.33953,0.1271,0.10653,0.05337,2.26367,3.27078,1.52237,0.000679367,0.000679367,0.000679367
17,25.7451,1.80438,2.49482,1.22852,0.27333,0.06053,0.05341,0.03022,2.15522,3.28047,1.49776,0.000716809,0.000716809,0.000716809
18,27.0984,1.72389,2.39021,1.16595,0.36709,0.07763,0.08098,0.04585,1.99285,3.0778,1.40513,0.000753243,0.000753243,0.000753243
19,28.4264,1.73317,2.3546,1.16402,0.30037,0.1193,0.09997,0.04668,1.91557,2.9616,1.32929,0.000788617,0.000788617,0.000788617
20,29.7502,1.76863,2.31365,1.14973,0.30914,0.22281,0.1355,0.06378,2.05994,2.99267,1.26932,0.000822882,0.000822882,0.000822882
21,31.1161,1.74073,2.34727,1.17441,0.30817,0.22763,0.14979,0.06802,2.25203,2.87224,1.33286,0.000823066,0.000823066,0.000823066
22,32.393,1.66844,2.27788,1.18416,0.32093,0.17154,0.10246,0.04874,2.22346,2.96672,1.36555,0.000814579,0.000814579,0.000814579
23,33.681,1.59512,2.22002,1.13983,0.12255,0.1688,0.11856,0.05393,2.22205,2.96643,1.3781,0.000805741,0.000805741,0.000805741
24,35.0964,1.71798,2.1813,1.16687,0.31989,0.17325,0.15696,0.06287,2.19079,3.04896,1.44748,0.000796561,0.000796561,0.000796561
25,36.4881,1.5733,2.12145,1.09678,0.30521,0.23947,0.14654,0.06928,2.39906,3.42754,1.42494,0.000787048,0.000787048,0.000787048
26,37.8864,1.62044,2.09162,1.13657,0.37793,0.32935,0.17085,0.07921,2.12513,3.45831,1.33986,0.000777211,0.000777211,0.000777211
27,39.2609,1.58219,2.04233,1.10917,0.40646,0.27338,0.18866,0.08117,2.04943,3.2537,1.29833,0.00076706,0.00076706,0.00076706
28,40.532,1.59057,1.9767,1.13468,0.5684,0.23377,0.16624,0.08545,1.87078,2.92824,1.29656,0.000756606,0.000756606,0.000756606
29,41.7398,1.62207,2.02961,1.13319,0.52024,0.25262,0.18348,0.09183,1.88875,2.91821,1.29505,0.000745857,0.000745857,0.000745857
30,43.0203,1.63097,1.90743,1.15734,0.53123,0.25537,0.16605,0.07811,1.92791,2.96254,1.29087,0.000734826,0.000734826,0.000734826
31,44.2548,1.60693,2.03549,1.1446,0.30239,0.15439,0.12603,0.06346,1.96384,3.17689,1.31289,0.000723522,0.000723522,0.000723522
32,45.52,1.62432,1.90495,1.11813,0.26932,0.07632,0.06305,0.03092,2.03372,3.94478,1.36518,0.000711957,0.000711957,0.000711957
33,46.9646,1.72797,2.01209,1.17463,0.26019,0.12675,0.08638,0.04266,2.05577,4.02271,1.38385,0.000700143,0.000700143,0.000700143
34,48.3254,1.56196,1.9304,1.10514,0.17702,0.19287,0.09256,0.04789,2.07443,3.9005,1.41917,0.000688091,0.000688091,0.000688091
35,49.5797,1.58684,1.8478,1.11122,0.1407,0.23932,0.13274,0.06303,2.14047,3.4916,1.40709,0.000675812,0.000675812,0.000675812
