epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72767,3.93182,8.67985,2.0658,0,0,0,0,3.87199,5.39811,2.22188,3.636e-05,3.636e-05,3.636e-05
2,3.08352,3.96642,8.14571,2.07907,0.00032,0.025,0.0002,8e-05,2.61082,4.31908,1.61949,8.10001e-05,8.10001e-05,8.10001e-05
3,4.78426,2.55679,5.09395,1.48523,0.03806,0.33333,0.03723,0.01605,2.54641,4.4213,1.44478,0.00012474,0.00012474,0.00012474
4,6.36887,2.22708,4.05195,1.35253,0.04181,0.24167,0.05388,0.02787,2.33314,7.89985,1.4047,0.000167581,0.000167581,0.000167581
5,7.91122,1.93598,3.58095,1.25765,0.10291,0.41439,0.13831,0.05828,2.09194,7.81536,1.3085,0.000209521,0.000209521,0.000209521
6,9.37967,1.83905,3.27198,1.2095,0.32334,0.25263,0.18486,0.08687,2.17225,4.26892,1.3815,0.000250561,0.000250561,0.000250561
7,10.8455,1.82075,3.08017,1.22461,0.09311,0.325,0.13176,0.07069,1.93662,3.5792,1.40727,0.000290702,0.000290702,0.000290702
8,12.2764,1.79536,2.83876,1.17702,0.11654,0.45553,0.2293,0.11172,2.05806,3.72918,1.42802,0.000329942,0.000329942,0.000329942
9,13.6965,1.73532,2.56866,1.16657,0.37103,0.26535,0.14886,0.07459,2.17608,4.52666,1.50976,0.000368283,0.000368283,0.000368283
10,15.0863,1.72448,2.57456,1.16299,0.55666,0.15457,0.18644,0.06745,2.2225,4.13625,1.43739,0.000405724,0.000405724,0.000405724
11,16.462,1.69146,2.29899,1.10835,0.49744,0.08673,0.11988,0.06013,1.95997,3.86779,1.37214,0.000442265,0.000442265,0.000442265
12,17.7707,1.66108,2.44354,1.12534,0.47722,0.20243,0.12146,0.05845,1.81301,3.31382,1.36458,0.000477906,0.000477906,0.000477906
13,19.0646,1.65728,2.2699,1.11274,0.48865,0.19274,0.12673,0.05642,1.72704,3.28129,1.31157,0.000512647,0.000512647,0.000512647
14,20.3493,1.53163,2.11125,1.0715,0.89381,0.1386,0.18028,0.06282,1.93611,3.46684,1.3838,0.000546488,0.000546488,0.000546488
15,21.7061,1.64939,1.99023,1.07528,0.08771,0.23726,0.06724,0.02983,1.80218,12.6414,1.40755,0.000579429,0.000579429,0.000579429
16,23.036,1.56231,2.03365,1.12031,0.04645,0.37291,0.06969,0.03356,1.83191,11.2529,1.41096,0.000611471,0.000611471,0.000611471
17,24.3301,1.65227,2.04247,1.12472,0.31593,0.08684,0.09217,0.03408,2.00582,3.14411,1.34859,0.000642612,0.000642612,0.000642612
18,25.6131,1.51136,1.83457,1.05984,0.11862,0.15175,0.09021,0.03779,1.83014,3.26042,1.29018,0.000672854,0.000672854,0.000672854
19,26.8683,1.57441,1.87664,1.07691,0.14056,0.13797,0.10921,0.04473,1.91805,2.99804,1.32732,0.000702195,0.000702195,0.000702195
20,28.2285,1.47449,1.74718,1.05772,0.06252,0.11272,0.11626,0.04996,1.97609,3.03938,1.41641,0.000730637,0.000730637,0.000730637
21,29.5117,1.51332,1.7477,1.06345,0.08729,0.12499,0.12712,0.05626,1.85175,2.92257,1.40287,0.000729018,0.000729018,0.000729018
22,30.7686,1.49364,1.67788,1.04938,0.15407,0.28873,0.15365,0.07437,1.89659,2.67338,1.3813,0.000720019,0.000720019,0.000720019
23,32.0336,1.55831,1.71445,1.09159,0.1624,0.13431,0.14885,0.08186,1.95863,2.78159,1.40152,0.00071102,0.00071102,0.00071102
24,33.3655,1.46716,1.63881,1.05863,0.22748,0.24399,0.16958,0.06382,2.23543,2.75318,1.44147,0.000702021,0.000702021,0.000702021
25,34.6294,1.51132,1.54926,1.07427,0.20578,0.23223,0.16793,0.06553,2.27771,2.80109,1.45153,0.000693022,0.000693022,0.000693022
26,35.922,1.45251,1.4776,1.04615,0.18443,0.20449,0.1948,0.09035,2.01495,2.74999,1.41283,0.000684022,0.000684022,0.000684022
27,37.1678,1.45835,1.55671,1.03904,0.42632,0.1615,0.2784,0.13863,2.0276,2.58001,1.41643,0.000675023,0.000675023,0.000675023
28,38.5984,1.47191,1.50343,1.03595,0.29967,0.19484,0.25759,0.14437,1.94484,2.72235,1.42562,0.000666024,0.000666024,0.000666024
29,39.9041,1.53451,1.54661,1.06712,0.22176,0.26224,0.23307,0.14277,1.92794,2.76237,1.46786,0.000657025,0.000657025,0.000657025
30,41.18,1.41428,1.43352,1.04744,0.25129,0.27558,0.21372,0.1303,1.82676,2.89208,1.39931,0.000648026,0.000648026,0.000648026
31,42.4607,1.38859,1.43147,1.03829,0.32127,0.28318,0.22911,0.1224,1.80623,2.92538,1.34915,0.000639027,0.000639027,0.000639027
32,43.9784,1.34417,1.32824,1.02273,0.32009,0.40441,0.27031,0.13958,1.82998,2.90625,1.33277,0.000630028,0.000630028,0.000630028
