epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91,3.75741,6.69998,2.20271,0,0,0,0,3.72752,5.36313,2.15521,3.636e-05,3.636e-05,3.636e-05
2,3.2754,3.58575,6.46596,2.11408,0.00235,0.13431,0.00276,0.00132,2.35978,4.08782,1.60033,8.179e-05,8.179e-05,8.179e-05
3,5.05943,2.66562,4.87455,1.61652,0.83939,0.00877,0.00299,0.00117,1.97654,14.1354,1.41193,0.000127136,0.000127136,0.000127136
4,6.68047,2.24055,4.12162,1.43276,0.55249,0.19825,0.04307,0.01972,2.39592,11.2508,1.425,0.000172331,0.000172331,0.000172331
5,8.27291,2.17544,3.7948,1.31056,0.20753,0.26842,0.0427,0.0239,2.128,8.59298,1.43402,0.000217308,0.000217308,0.000217308
6,9.86966,1.96414,3.55072,1.2935,0.22825,0.26623,0.06674,0.03014,2.22858,7.66386,1.49867,0.000262003,0.000262003,0.000262003
7,11.396,1.91374,3.37258,1.24145,0.31584,0.13553,0.0824,0.03812,2.33588,5.95423,1.61836,0.00030635,0.00030635,0.00030635
8,12.8612,1.83877,3.07692,1.21571,0.24594,0.35132,0.07643,0.0398,2.51409,11.312,1.80954,0.000350284,0.000350284,0.000350284
9,14.3336,1.83524,3.0259,1.23833,0.45551,0.13174,0.07331,0.04067,2.23786,3.56191,1.61204,0.00039374,0.00039374,0.00039374
10,15.7581,1.77419,2.91818,1.21874,0.1007,0.2418,0.1269,0.05814,2.13087,5.11157,1.47682,0.000436656,0.000436656,0.000436656
11,17.1454,1.8121,2.8446,1.20237,0.33191,0.17895,0.12797,0.05669,2.2184,3.91328,1.61718,0.000478968,0.000478968,0.000478968
12,18.512,1.90162,2.79522,1.24789,0.7015,0.14035,0.12322,0.05986,2.18217,4.01514,1.51918,0.000520615,0.000520615,0.000520615
13,19.8934,1.85445,2.73372,1.21926,0.65967,0.15453,0.13719,0.05148,2.18219,4.06076,1.4708,0.000561538,0.000561538,0.000561538
14,21.4611,1.80807,2.57788,1.1817,0.07496,0.35722,0.08347,0.04862,2.01535,3.76062,1.398,0.000601675,0.000601675,0.000601675
