epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20915,3.12078,4.77282,2.15643,0.01763,0.02884,0.00447,0.00149,2.8029,9.06079,1.79008,0.00025452,0.00025452,0.00025452
2,10.9202,2.3307,3.14395,1.62777,0.2112,0.05755,0.0259,0.00765,2.8588,3.987,1.83436,0.000518003,0.000518003,0.000518003
3,15.4021,2.15102,2.62478,1.52578,0.20679,0.05953,0.03115,0.00902,3.15463,3.56735,1.92579,0.000780976,0.000780976,0.000780976
4,19.7976,2.10546,2.39576,1.50408,0.29655,0.07704,0.07567,0.03355,3.05658,3.6324,1.92686,0.000907003,0.000907003,0.000907003
5,24.1459,2.06145,2.29968,1.46941,0.29891,0.07633,0.06135,0.02067,2.74925,3.48554,1.82411,0.000905452,0.000905452,0.000905452
6,28.5035,2.03893,2.15313,1.46319,0.2459,0.10481,0.06951,0.02433,2.62026,3.6785,1.74896,0.00090346,0.00090346,0.00090346
7,32.7833,1.9682,2.0628,1.41709,0.24221,0.1375,0.09231,0.03345,2.46973,3.43547,1.69322,0.00090103,0.00090103,0.00090103
8,37.2523,1.91748,1.92273,1.38806,0.33606,0.15332,0.07736,0.03198,2.35505,3.32843,1.62696,0.000898164,0.000898164,0.000898164
9,41.6071,1.89971,1.92391,1.36552,0.24025,0.14494,0.11753,0.04348,2.59194,3.20061,1.69721,0.000894864,0.000894864,0.000894864
10,46.0499,1.84055,1.77336,1.33305,0.57496,0.18914,0.17646,0.06757,2.32703,3.58509,1.65783,0.000891134,0.000891134,0.000891134
11,50.5635,1.819,1.78199,1.3227,0.6442,0.2004,0.20939,0.0861,2.45151,2.82879,1.69438,0.000886978,0.000886978,0.000886978
12,54.9224,1.82417,1.71205,1.30648,0.4387,0.17818,0.19359,0.08034,2.36396,3.16828,1.60738,0.000882399,0.000882399,0.000882399
13,59.2612,1.76446,1.66153,1.29219,0.6302,0.16101,0.17837,0.08042,2.43573,3.2627,1.64914,0.000877403,0.000877403,0.000877403
14,63.6158,1.78122,1.67546,1.31109,0.57731,0.21202,0.22845,0.10167,2.25126,2.80826,1.61873,0.000871993,0.000871993,0.000871993
15,67.9896,1.79213,1.70409,1.31879,0.5965,0.16267,0.17974,0.07967,2.32126,2.89153,1.55632,0.000866176,0.000866176,0.000866176
16,72.3067,1.75801,1.60332,1.28178,0.39674,0.23984,0.17483,0.0686,2.31959,3.08799,1.59302,0.000859958,0.000859958,0.000859958
17,76.6687,1.72424,1.55774,1.29953,0.67637,0.23697,0.24089,0.1017,2.30185,2.70903,1.61962,0.000853344,0.000853344,0.000853344
18,80.9973,1.74129,1.52259,1.27786,0.71269,0.23531,0.26284,0.1229,2.10182,2.77263,1.49853,0.00084634,0.00084634,0.00084634
19,85.3815,1.68669,1.52184,1.26442,0.71973,0.17943,0.22952,0.10327,2.18117,2.76103,1.47112,0.000838955,0.000838955,0.000838955
20,89.7289,1.68748,1.51506,1.25801,0.66647,0.2256,0.24834,0.11925,2.10227,2.86837,1.47611,0.000831194,0.000831194,0.000831194
21,94.0538,1.66249,1.44229,1.24318,0.6495,0.21563,0.25492,0.11854,2.16878,2.6788,1.47068,0.000823066,0.000823066,0.000823066
