epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.113,3.12032,4.71754,2.14926,0.18224,0.02172,0.00888,0.00304,2.90681,9.74248,1.87249,0.00025452,0.00025452,0.00025452
2,29.0767,2.30953,3.13373,1.59883,0.37015,0.0564,0.0382,0.0116,2.8441,5.37427,1.90249,0.000518003,0.000518003,0.000518003
3,37.4206,2.15002,2.57956,1.49642,0.13547,0.06376,0.03053,0.0098,3.19049,5.01975,2.08709,0.000780976,0.000780976,0.000780976
4,46.5357,2.10521,2.39106,1.46247,0.27813,0.1057,0.05434,0.01806,3.25622,3.67958,2.10205,0.000907003,0.000907003,0.000907003
5,53.6336,2.08322,2.30075,1.47047,0.16601,0.08306,0.05443,0.01627,2.91655,3.61746,1.93743,0.000905452,0.000905452,0.000905452
6,59.9889,1.99743,2.14218,1.42799,0.23454,0.12532,0.09692,0.04288,2.55463,3.40194,1.67354,0.00090346,0.00090346,0.00090346
7,65.1317,1.94838,2.02604,1.39607,0.1362,0.14763,0.07748,0.0284,2.60205,3.68961,1.75961,0.00090103,0.00090103,0.00090103
8,70.1907,1.94924,1.93653,1.36985,0.47831,0.07038,0.05921,0.02243,2.52546,3.55336,1.68834,0.000898164,0.000898164,0.000898164
9,75.7057,1.89103,1.91941,1.34699,0.34279,0.11166,0.08552,0.03658,2.28739,3.57557,1.55007,0.000894864,0.000894864,0.000894864
10,80.5453,1.85789,1.79139,1.32262,0.61124,0.2207,0.21947,0.08128,2.28718,3.11248,1.57316,0.000891134,0.000891134,0.000891134
11,85.5846,1.86654,1.77893,1.34628,0.46376,0.22434,0.22307,0.0933,2.2647,2.93152,1.56882,0.000886978,0.000886978,0.000886978
12,90.6337,1.82263,1.71373,1.30579,0.49081,0.21197,0.18929,0.08302,2.2775,3.00154,1.6055,0.000882399,0.000882399,0.000882399
13,95.6118,1.78175,1.62695,1.29529,0.56276,0.2084,0.20103,0.07702,2.35765,2.70705,1.59873,0.000877403,0.000877403,0.000877403
14,100.557,1.77894,1.68678,1.29868,0.46028,0.23111,0.23218,0.11726,2.22894,2.70538,1.59501,0.000871993,0.000871993,0.000871993
15,107.579,1.773,1.6745,1.31001,0.36679,0.20043,0.17034,0.06574,2.606,2.98927,1.68769,0.000866176,0.000866176,0.000866176
16,113.278,1.77684,1.6059,1.27816,0.65863,0.21814,0.2476,0.09837,2.32554,2.7307,1.55597,0.000859958,0.000859958,0.000859958
17,118.267,1.69126,1.53801,1.27069,0.45963,0.25096,0.22992,0.08892,2.27912,2.692,1.62863,0.000853344,0.000853344,0.000853344
18,123.704,1.7303,1.56376,1.27709,0.49118,0.17278,0.20339,0.07583,2.31826,2.73253,1.59943,0.00084634,0.00084634,0.00084634
19,128.67,1.66508,1.52171,1.25806,0.71384,0.22083,0.2246,0.10493,2.13735,2.66599,1.55007,0.000838955,0.000838955,0.000838955
20,133.712,1.69215,1.52929,1.25205,0.79384,0.20139,0.25352,0.11481,2.19449,2.67546,1.58471,0.000831194,0.000831194,0.000831194
21,138.542,1.6728,1.47852,1.23643,0.53976,0.28248,0.26754,0.11888,2.16538,2.8917,1.57053,0.000823066,0.000823066,0.000823066
22,143.38,1.64455,1.46839,1.23342,0.59339,0.19273,0.22072,0.09098,2.30852,2.62903,1.56109,0.000814579,0.000814579,0.000814579
23,148.213,1.6553,1.47924,1.23735,0.63946,0.24301,0.22845,0.08051,2.39428,2.51633,1.56134,0.000805741,0.000805741,0.000805741
24,153.592,1.66792,1.43913,1.22043,0.56962,0.25889,0.24487,0.09863,2.45648,2.591,1.65196,0.000796561,0.000796561,0.000796561
25,159.059,1.66459,1.43576,1.22098,0.61607,0.29543,0.25039,0.10169,2.11383,2.65937,1.50823,0.000787048,0.000787048,0.000787048
26,164.815,1.62153,1.41186,1.20958,0.60033,0.25529,0.26225,0.11384,2.03183,2.49744,1.49313,0.000777211,0.000777211,0.000777211
27,169.916,1.63783,1.39789,1.21917,0.73313,0.21794,0.26636,0.12249,2.17031,2.69485,1.53752,0.00076706,0.00076706,0.00076706
28,180.548,1.59961,1.38352,1.21552,0.77458,0.26329,0.27748,0.10013,2.30338,2.5603,1.51235,0.000756606,0.000756606,0.000756606
29,193.449,1.647,1.39165,1.21233,0.57376,0.25634,0.26948,0.08783,2.54836,2.63338,1.66358,0.000745857,0.000745857,0.000745857
30,203.58,1.56806,1.31964,1.17657,0.64293,0.25403,0.25963,0.09634,2.28327,2.49868,1.51782,0.000734826,0.000734826,0.000734826
31,208.303,1.56085,1.31183,1.18217,0.63931,0.23043,0.264,0.12021,2.03724,2.4382,1.4449,0.000723522,0.000723522,0.000723522
32,213.287,1.54892,1.29306,1.17761,0.67442,0.19083,0.25063,0.10272,2.10386,2.48169,1.43232,0.000711957,0.000711957,0.000711957
33,217.685,1.58682,1.33703,1.19847,0.50233,0.25404,0.24609,0.1116,2.05049,2.52233,1.42413,0.000700143,0.000700143,0.000700143
34,222.079,1.5772,1.28983,1.18704,0.5797,0.30259,0.28151,0.13175,2.09797,2.47009,1.47463,0.000688091,0.000688091,0.000688091
35,226.501,1.56152,1.31303,1.19155,0.58816,0.28448,0.26985,0.11711,2.12697,2.61573,1.44226,0.000675812,0.000675812,0.000675812
36,231.223,1.52284,1.29001,1.16433,0.55049,0.26745,0.27622,0.11848,2.13689,2.54013,1.49249,0.00066332,0.00066332,0.00066332
37,236.216,1.57247,1.30623,1.19444,0.62441,0.259,0.27402,0.11162,2.14196,2.53451,1.48649,0.000650627,0.000650627,0.000650627
38,241.636,1.54019,1.30748,1.17714,0.58073,0.29173,0.30265,0.11748,2.14201,2.42515,1.43384,0.000637744,0.000637744,0.000637744
39,246.434,1.53641,1.2536,1.17199,0.5357,0.27329,0.30133,0.1298,2.14319,2.5535,1.49306,0.000624684,0.000624684,0.000624684
40,251.817,1.5279,1.25436,1.17341,0.57122,0.24127,0.27255,0.12974,2.06082,2.54565,1.43344,0.000611462,0.000611462,0.000611462
41,256.753,1.5468,1.26818,1.16566,0.63365,0.24096,0.29605,0.14213,1.98034,2.45012,1.42804,0.000598089,0.000598089,0.000598089
42,261.65,1.51612,1.25007,1.15896,0.8437,0.26549,0.32309,0.15089,2.11797,2.48613,1.47267,0.000584578,0.000584578,0.000584578
43,267.495,1.51836,1.24225,1.17315,0.75155,0.28971,0.31445,0.1457,2.00671,2.46985,1.45272,0.000570944,0.000570944,0.000570944
44,272.962,1.49066,1.20658,1.1534,0.54759,0.29896,0.3276,0.14332,2.09372,2.50414,1.48945,0.0005572,0.0005572,0.0005572
45,277.718,1.48028,1.19964,1.15255,0.63437,0.30957,0.3067,0.13554,2.19705,2.45564,1.49732,0.000543358,0.000543358,0.000543358
46,282.493,1.49995,1.18461,1.16053,0.70975,0.27405,0.30756,0.15415,2.00214,2.39262,1.54373,0.000529433,0.000529433,0.000529433
47,287.318,1.51222,1.17717,1.15041,0.65314,0.2201,0.27603,0.12462,1.98167,2.41445,1.44814,0.000515439,0.000515439,0.000515439
48,292.192,1.47541,1.19938,1.14448,0.59055,0.26669,0.3045,0.13199,1.98723,2.36306,1.43129,0.00050139,0.00050139,0.00050139
49,297.01,1.46149,1.18489,1.13702,0.72677,0.26349,0.29875,0.14313,1.94569,2.38044,1.44182,0.000487298,0.000487298,0.000487298
50,301.858,1.47188,1.20353,1.15024,0.67321,0.3053,0.31907,0.15547,1.9303,2.28496,1.4212,0.000473178,0.000473178,0.000473178
51,306.962,1.45698,1.14469,1.11999,0.71328,0.29039,0.32191,0.14994,1.87455,2.36977,1.39691,0.000459045,0.000459045,0.000459045
52,311.655,1.43684,1.11526,1.12489,0.6385,0.28427,0.32156,0.13904,2.05364,2.39828,1.50277,0.000444912,0.000444912,0.000444912
53,316.72,1.41742,1.13079,1.11788,0.63134,0.31756,0.34538,0.1643,1.98763,2.41023,1.4062,0.000430792,0.000430792,0.000430792
54,322.109,1.43849,1.14427,1.1306,0.68139,0.2418,0.2982,0.14357,1.97468,2.46922,1.41558,0.0004167,0.0004167,0.0004167
55,326.677,1.44339,1.1429,1.13181,0.69504,0.32254,0.32632,0.14461,2.01702,2.37814,1.46685,0.000402651,0.000402651,0.000402651
56,331.294,1.4541,1.13684,1.12082,0.66667,0.30722,0.34824,0.14506,2.06446,2.42432,1.46881,0.000388657,0.000388657,0.000388657
57,336.457,1.41908,1.11295,1.11803,0.80234,0.32362,0.35457,0.16583,2.07657,2.41486,1.531,0.000374732,0.000374732,0.000374732
58,341.434,1.38773,1.08988,1.10921,0.68974,0.34144,0.36905,0.17196,1.99824,2.29937,1.44487,0.00036089,0.00036089,0.00036089
59,346.735,1.42117,1.09882,1.12081,0.5993,0.3327,0.34723,0.16536,2.0016,2.33776,1.46253,0.000347146,0.000347146,0.000347146
60,351.395,1.37693,1.06244,1.10559,0.60802,0.28296,0.32544,0.14033,1.90001,2.3267,1.3759,0.000333512,0.000333512,0.000333512
61,356.015,1.3678,1.07012,1.11237,0.5819,0.31482,0.31494,0.14578,1.9611,2.30897,1.4072,0.000320001,0.000320001,0.000320001
62,360.617,1.4021,1.06724,1.10541,0.57204,0.25197,0.28169,0.11774,2.01734,2.33161,1.43155,0.000306628,0.000306628,0.000306628
63,365.2,1.39837,1.09456,1.11192,0.67935,0.26618,0.30156,0.1355,2.12036,2.32456,1.46632,0.000293406,0.000293406,0.000293406
64,369.913,1.38975,1.09776,1.10848,0.47207,0.35922,0.30477,0.1454,2.05187,2.26687,1.41923,0.000280346,0.000280346,0.000280346
65,374.54,1.33657,1.03183,1.07918,0.53504,0.31981,0.32336,0.16484,1.94578,2.20987,1.41065,0.000267463,0.000267463,0.000267463
66,379.065,1.37651,1.03339,1.09,0.54891,0.3288,0.31996,0.16345,2.03805,2.30317,1.46195,0.00025477,0.00025477,0.00025477
67,383.691,1.3678,1.04518,1.10925,0.64024,0.32438,0.32867,0.1639,2.02389,2.29312,1.4851,0.000242278,0.000242278,0.000242278
68,388.272,1.32547,1.02414,1.08426,0.67776,0.30565,0.32849,0.15362,2.11661,2.35449,1.53112,0.000229999,0.000229999,0.000229999
69,392.645,1.33687,1.01174,1.08063,0.66161,0.32443,0.31316,0.15553,2.15793,2.36193,1.55213,0.000217947,0.000217947,0.000217947
70,397.019,1.32846,1.00516,1.08492,0.57037,0.29379,0.32449,0.16221,2.23198,2.30526,1.58395,0.000206133,0.000206133,0.000206133
71,401.373,1.31453,0.99743,1.07038,0.60578,0.34008,0.33422,0.16014,1.96775,2.22196,1.42965,0.000194568,0.000194568,0.000194568
72,405.816,1.32791,1.01216,1.08122,0.65034,0.33907,0.3253,0.15081,1.93298,2.24813,1.40109,0.000183264,0.000183264,0.000183264
73,410.151,1.31304,1.0237,1.07494,0.68284,0.32168,0.34028,0.16692,1.96302,2.20135,1.40295,0.000172233,0.000172233,0.000172233
74,414.55,1.3208,1.00362,1.0863,0.64133,0.33347,0.36807,0.17981,1.96709,2.18767,1.39255,0.000161484,0.000161484,0.000161484
75,418.985,1.2779,0.96214,1.06862,0.63169,0.31525,0.35565,0.1572,2.17867,2.34467,1.55812,0.00015103,0.00015103,0.00015103
76,423.364,1.2732,0.94598,1.06807,0.64265,0.33334,0.33646,0.15402,2.08544,2.37393,1.47274,0.000140879,0.000140879,0.000140879
77,427.785,1.29263,0.96832,1.06639,0.72446,0.29734,0.32652,0.15346,2.04446,2.364,1.45944,0.000131042,0.000131042,0.000131042
78,432.101,1.27573,0.94618,1.05637,0.68321,0.32359,0.33604,0.16193,2.08753,2.35504,1.48105,0.000121529,0.000121529,0.000121529
79,436.491,1.29236,0.99352,1.07077,0.7032,0.35094,0.33151,0.16005,2.28675,2.41792,1.61481,0.000112349,0.000112349,0.000112349
80,440.934,1.32379,0.99884,1.07179,0.62671,0.31731,0.33522,0.15691,2.31906,2.44686,1.59839,0.000103511,0.000103511,0.000103511
81,445.324,1.27674,0.93753,1.06301,0.65127,0.31511,0.32995,0.15159,2.32895,2.44154,1.60528,9.50238e-05,9.50238e-05,9.50238e-05
82,449.693,1.28705,0.99117,1.07311,0.73737,0.35211,0.36808,0.17855,2.1405,2.29412,1.51408,8.6896e-05,8.6896e-05,8.6896e-05
83,454.086,1.29501,0.96426,1.06123,0.74286,0.34171,0.36491,0.18228,2.01045,2.20186,1.43555,7.91354e-05,7.91354e-05,7.91354e-05
84,458.494,1.27644,0.96274,1.06741,0.64679,0.349,0.36055,0.17911,2.04121,2.23494,1.43675,7.17498e-05,7.17498e-05,7.17498e-05
85,462.878,1.2737,0.96016,1.06052,0.67296,0.36723,0.36086,0.18465,2.03476,2.22882,1.43115,6.47464e-05,6.47464e-05,6.47464e-05
86,467.317,1.2508,0.96425,1.05386,0.63555,0.37273,0.36072,0.18153,1.98993,2.20808,1.4209,5.81322e-05,5.81322e-05,5.81322e-05
87,471.752,1.25105,0.9462,1.05266,0.58958,0.34008,0.35177,0.176,1.97156,2.20776,1.41746,5.19135e-05,5.19135e-05,5.19135e-05
88,476.193,1.27022,0.95655,1.05795,0.6065,0.35531,0.34972,0.17153,2.03554,2.24375,1.44146,4.60967e-05,4.60967e-05,4.60967e-05
89,480.566,1.25801,0.94352,1.06031,0.62987,0.37285,0.35638,0.17424,2.1034,2.23921,1.48048,4.06874e-05,4.06874e-05,4.06874e-05
90,485.59,1.26351,0.94198,1.05384,0.65935,0.33306,0.36415,0.17686,2.09515,2.23274,1.46514,3.5691e-05,3.5691e-05,3.5691e-05
91,540.324,1.56258,1.7751,1.24557,0.68495,0.2914,0.34826,0.1679,2.12036,2.33193,1.4713,3.11124e-05,3.11124e-05,3.11124e-05
92,545.445,1.47355,1.61819,1.22773,0.62353,0.31283,0.34196,0.1661,2.14335,2.39456,1.49878,2.69561e-05,2.69561e-05,2.69561e-05
93,550.381,1.48493,1.58798,1.22099,0.56245,0.32468,0.34658,0.17029,2.12056,2.31851,1.48108,2.32262e-05,2.32262e-05,2.32262e-05
94,555.06,1.44071,1.52185,1.20267,0.56327,0.34068,0.35447,0.17459,2.10595,2.28355,1.47123,1.99264e-05,1.99264e-05,1.99264e-05
95,559.921,1.4218,1.5025,1.19674,0.55065,0.34927,0.36063,0.18333,2.09562,2.27772,1.46533,1.70599e-05,1.70599e-05,1.70599e-05
96,565.003,1.41011,1.49077,1.18942,0.57176,0.3373,0.36485,0.18459,2.0799,2.26052,1.45143,1.46297e-05,1.46297e-05,1.46297e-05
97,569.707,1.43564,1.50729,1.20505,0.60189,0.35204,0.3738,0.18379,2.06425,2.23176,1.43696,1.2638e-05,1.2638e-05,1.2638e-05
98,574.487,1.42393,1.53125,1.20993,0.66378,0.34058,0.38166,0.18945,2.05587,2.22344,1.43256,1.10869e-05,1.10869e-05,1.10869e-05
99,579.55,1.40755,1.47113,1.19804,0.60598,0.3526,0.38175,0.19015,2.05558,2.21913,1.4275,9.97788e-06,9.97788e-06,9.97788e-06
100,584.572,1.40991,1.51802,1.19932,0.60429,0.34875,0.38082,0.18945,2.05395,2.22106,1.425,9.31203e-06,9.31203e-06,9.31203e-06
